track,reference,stat,lo,hi
D_BW_ENCSR747BYL,all,mad,-0.004460155963897705,0.004481017589569092
D_BW_ENCSR747BYL,benign,std,-0.01003745369842984,0.01319185709347941
D_BW_ENCSR747BYL,benign,mad,-0.002499103546142578,0.003681659698486328
D_BW_ENCSR581PUR,all,std,-0.014674948228822841,0.012262519335331753
D_BW_ENCSR581PUR,all,mad,-0.0024392008781433105,0.0020359158515930176
D_BW_ENCSR581PUR,benign,std,-0.013173203233307096,0.015830825855077585
D_BW_ENCSR581PUR,benign,mad,-0.0022506117820739746,0.002974212169647217
D_BW_ENCSR521IZK,all,std,-0.02560747009062473,0.0245253268866768
D_BW_ENCSR521IZK,all,mad,-0.011000961065292358,0.010331004858016968
D_BW_ENCSR521IZK,benign,std,-0.014919377642426151,0.016940130853908122
D_BW_ENCSR521IZK,benign,mad,-0.005102992057800293,0.006001591682434082
D_BW_ENCSR435FGK,all,std,-0.015181032178237968,0.010286258918561145
D_BW_ENCSR435FGK,all,mad,-0.0058581531047821045,0.003550499677658081
D_BW_ENCSR435FGK,benign,std,-0.008722349725255683,0.01083322967263977
D_BW_ENCSR435FGK,benign,mad,-0.002293705940246582,0.0029010772705078125
D_BW_ENCSR988EGR,all,std,-0.010833489010707218,0.012648287608097344
D_BW_ENCSR988EGR,all,mad,-0.0036024749279022217,0.0051995813846588135
D_BW_ENCSR988EGR,benign,std,-0.007624833601944375,0.01024659327022591
D_BW_ENCSR988EGR,benign,mad,-0.00204622745513916,0.0033589601516723633
D_BW_ENCSR059MVB,all,std,-0.02217194020211487,0.020332532159075174
D_BW_ENCSR059MVB,all,mad,-0.007276713848114014,0.007275760173797607
D_BW_ENCSR059MVB,benign,std,-0.014054029827626748,0.019152867172006822
D_BW_ENCSR059MVB,benign,mad,-0.0029069185256958008,0.005252480506896973
D_BW_ENCSR475NLR,all,std,-0.013166549261793786,0.013036198566556334
D_BW_ENCSR475NLR,all,mad,-0.004648327827453613,0.004501700401306152
D_BW_ENCSR475NLR,benign,std,-0.008456027952332221,0.013707980548100213
D_BW_ENCSR475NLR,benign,mad,-0.0016973614692687988,0.005136072635650635
D_BW_ENCSR897FOZ,all,std,-0.014356594392767083,0.014316369342313333
D_BW_ENCSR897FOZ,all,mad,-0.004014015197753906,0.003954648971557617
D_BW_ENCSR897FOZ,benign,std,-0.012595557405777544,0.020949121843404236
D_BW_ENCSR897FOZ,benign,mad,-0.0020662546157836914,0.006818890571594238
D_BW_ENCSR726ZZX,all,std,-0.027208801874011694,0.02039899945036691
D_BW_ENCSR726ZZX,all,mad,-0.009886026382446289,0.0077675580978393555
D_BW_ENCSR726ZZX,benign,std,-0.013131920091544139,0.019502256596838755
D_BW_ENCSR726ZZX,benign,mad,-0.003207266330718994,0.006640613079071045
D_BW_ENCSR778VGY,all,std,-0.021321676142256267,0.014321323463653635
D_BW_ENCSR778VGY,all,mad,-0.006599217653274536,0.0052175819873809814
D_BW_ENCSR778VGY,benign,std,-0.009045043056981512,0.014995949877446065
D_BW_ENCSR778VGY,benign,mad,-0.0015235543251037598,0.005372226238250732
D_BW_ENCSR257BGZ,all,std,-0.025857209546532332,0.02177580229146297
D_BW_ENCSR257BGZ,all,mad,-0.006980836391448975,0.006963133811950684
D_BW_ENCSR257BGZ,benign,std,-0.010968508387477614,0.01637044234018957
D_BW_ENCSR257BGZ,benign,mad,-0.0022559165954589844,0.0059882402420043945
D_BW_ENCSR000ELX,all,std,-0.02277823313994034,0.02280597374569527
D_BW_ENCSR000ELX,all,mad,-0.0065412819385528564,0.008353382349014282
D_BW_ENCSR000ELX,benign,std,-0.010407085450254018,0.015820635098901734
D_BW_ENCSR000ELX,benign,mad,-0.0020023584365844727,0.0061577558517456055
D_BW_ENCSR000DPI,all,std,-0.012791234824799592,0.011976938779683127
D_BW_ENCSR000DPI,all,mad,-0.0038041770458221436,0.0038041770458221436
D_BW_ENCSR000DPI,benign,std,-0.007300124501714595,0.010967298015019639
D_BW_ENCSR000DPI,benign,mad,-0.0005400180816650391,0.0031516551971435547
D_BW_ENCSR000ELY,all,std,-0.023341689890246573,0.02313389487640245
D_BW_ENCSR000ELY,all,mad,-0.006512075662612915,0.00783488154411316
D_BW_ENCSR000ELY,benign,std,-0.011077695584051195,0.014762918902804564
D_BW_ENCSR000ELY,benign,mad,-0.0023064017295837402,0.005481421947479248
D_BW_ENCSR000DPL,all,std,-0.027186631972240152,0.02093002805864972
D_BW_ENCSR000DPL,all,mad,-0.008544087409973145,0.007085621356964111
D_BW_ENCSR000DPL,benign,std,-0.0170552688628742,0.022554770390605862
D_BW_ENCSR000DPL,benign,mad,-0.003371119499206543,0.004992365837097168
D_BW_ENCSR000DPK,all,std,-0.013584741876180669,0.01651897392009404
D_BW_ENCSR000DPK,all,mad,-0.003988683223724365,0.005489706993103027
D_BW_ENCSR000DPK,benign,std,-0.01058050140285428,0.015369467793088891
D_BW_ENCSR000DPK,benign,mad,-0.0020172595977783203,0.004605531692504883
D_BW_ENCSR000DPO,all,std,-0.012532143777574742,0.01232965739137489
D_BW_ENCSR000DPO,all,mad,-0.0037051141262054443,0.0037051141262054443
D_BW_ENCSR000DPO,benign,std,-0.007845802229313404,0.011065101708628008
D_BW_ENCSR000DPO,benign,mad,-0.0009416341781616211,0.0030791759490966797
D_BW_ENCSR000DPJ,all,std,-0.019746603714897715,0.02053355333696669
D_BW_ENCSR000DPJ,all,mad,-0.004699081182479858,0.004961580038070679
D_BW_ENCSR000DPJ,benign,std,-0.01796401941652482,0.022161235406431085
D_BW_ENCSR000DPJ,benign,mad,-0.0028421878814697266,0.003824949264526367
D_BW_ENCSR000EIV,all,std,-0.02334488936905758,0.017918507173640925
D_BW_ENCSR000EIV,all,mad,-0.007987529039382935,0.005945295095443726
D_BW_ENCSR000EIV,benign,std,-0.00971040400012195,0.012798336823669425
D_BW_ENCSR000EIV,benign,mad,-0.0029942989349365234,0.004819035530090332
D_BW_ENCSR000EIW,all,std,-0.023527312054041932,0.01868072555440728
D_BW_ENCSR000EIW,all,mad,-0.006781935691833496,0.0060517191886901855
D_BW_ENCSR000EIW,benign,std,-0.010242668113563065,0.012839303571004372
D_BW_ENCSR000EIW,benign,mad,-0.002747833728790283,0.003787219524383545
D_BW_ENCSR000ELZ,all,std,-0.02982233505185285,0.026627798346053198
D_BW_ENCSR000ELZ,all,mad,-0.005868315696716309,0.006592452526092529
D_BW_ENCSR000ELZ,benign,std,-0.011404391449788845,0.015612517566336293
D_BW_ENCSR000ELZ,benign,mad,-0.001773834228515625,0.004650712013244629
D_BW_ENCSR000DPR,all,std,-0.01302585222020758,0.012025960615542864
D_BW_ENCSR000DPR,all,mad,-0.0030605196952819824,0.0030605196952819824
D_BW_ENCSR000DPR,benign,std,-0.008244762299885655,0.010170224030243888
D_BW_ENCSR000DPR,benign,mad,-0.001358628273010254,0.0020905733108520508
D_BW_ENCSR000EMA,all,std,-0.02729474539084019,0.02622084355103494
D_BW_ENCSR000EMA,all,mad,-0.00594744086265564,0.0068142712116241455
D_BW_ENCSR000EMA,benign,std,-0.013658364982174973,0.0152003249243877
D_BW_ENCSR000EMA,benign,mad,-0.0025681257247924805,0.004146456718444824
D_BW_ENCSR000DPU,all,std,-0.012117442563022938,0.011512931197208356
D_BW_ENCSR000DPU,all,mad,-0.0025309622287750244,0.0025309622287750244
D_BW_ENCSR000DPU,benign,std,-0.008328843421732984,0.010892515144039425
D_BW_ENCSR000DPU,benign,mad,-0.0006635785102844238,0.0016620755195617676
D_BW_ENCSR000EMB,all,std,-0.030907334934472022,0.02794668739314731
D_BW_ENCSR000EMB,all,mad,-0.004920929670333862,0.0053987205028533936
D_BW_ENCSR000EMB,benign,std,-0.011863131206751993,0.01414946807561579
D_BW_ENCSR000EMB,benign,mad,-0.0017336606979370117,0.0035653114318847656
D_BW_ENCSR000DPX,all,std,-0.014411916879819244,0.012463206583792243
D_BW_ENCSR000DPX,all,mad,-0.0040306150913238525,0.0040306150913238525
D_BW_ENCSR000DPX,benign,std,-0.010417129948542488,0.013890376585465929
D_BW_ENCSR000DPX,benign,mad,-0.0009286403656005859,0.0031763315200805664
D_BW_ENCSR000EIX,all,std,-0.02339092798702664,0.01872826641050738
D_BW_ENCSR000EIX,all,mad,-0.006907612085342407,0.006173044443130493
D_BW_ENCSR000EIX,benign,std,-0.010142590605337926,0.01296786441676984
D_BW_ENCSR000EIX,benign,mad,-0.0027577877044677734,0.0038834810256958008
D_BW_ENCSR000EMD,all,std,-0.02788319969628917,0.03466861995121142
D_BW_ENCSR000EMD,all,mad,-0.008162468671798706,0.01351049542427063
D_BW_ENCSR000EMD,benign,std,-0.017207541029647784,0.01962860442902871
D_BW_ENCSR000EMD,benign,mad,-0.003677964210510254,0.006271958351135254
D_BW_ENCSR000DQB,all,std,-0.012714671276772952,0.015172412082948412
D_BW_ENCSR000DQB,all,mad,-0.004044830799102783,0.005557715892791748
D_BW_ENCSR000DQB,benign,std,-0.007093841309260836,0.010898734904180536
D_BW_ENCSR000DQB,benign,mad,-0.0015962719917297363,0.004289090633392334
D_BW_ENCSR000EME,all,std,-0.028147056460975574,0.025955813542229297
D_BW_ENCSR000EME,all,mad,-0.005554258823394775,0.005963742733001709
D_BW_ENCSR000EME,benign,std,-0.012979055458128462,0.015963759201024882
D_BW_ENCSR000EME,benign,mad,-0.002342700958251953,0.0041931867599487305
D_BW_ENCSR000DQG,all,std,-0.016337743642055674,0.01794048644250254
D_BW_ENCSR000DQG,all,mad,-0.006594657897949219,0.007989823818206787
D_BW_ENCSR000DQG,benign,std,-0.010661568827353383,0.018762038734478223
D_BW_ENCSR000DQG,benign,mad,-0.002025604248046875,0.007580995559692383
D_BW_ENCSR000DQF,all,std,-0.024152356283850714,0.0202664802044625
D_BW_ENCSR000DQF,all,mad,-0.005458325147628784,0.0054573118686676025
D_BW_ENCSR000DQF,benign,std,-0.01585908359364676,0.024486627522967826
D_BW_ENCSR000DQF,benign,mad,-0.0022971630096435547,0.007597446441650391
D_BW_ENCSR000DQH,all,std,-0.010410089921075574,0.010124229092490205
D_BW_ENCSR000DQH,all,mad,-0.0032521486282348633,0.0032521486282348633
D_BW_ENCSR000DQH,benign,std,-0.005816351780651605,0.00786483045314062
D_BW_ENCSR000DQH,benign,mad,-0.0011626482009887695,0.0026824474334716797
D_BW_ENCSR279KIX,all,std,-0.017322699319246786,0.019339935082467216
D_BW_ENCSR279KIX,all,mad,-0.005511432886123657,0.005511432886123657
D_BW_ENCSR279KIX,benign,std,-0.011556622070375286,0.01618374660490473
D_BW_ENCSR279KIX,benign,mad,-0.003132343292236328,0.004547715187072754
D_BW_ENCSR000EMN,all,std,-0.03473342565431944,0.023428658710854477
D_BW_ENCSR000EMN,all,mad,-0.011323779821395874,0.008905500173568726
D_BW_ENCSR000EMN,benign,std,-0.014283381901353068,0.016465668213178075
D_BW_ENCSR000EMN,benign,mad,-0.003506779670715332,0.005686402320861816
D_BW_ENCSR000EKI,all,std,-0.01997589936211981,0.016510570086334504
D_BW_ENCSR000EKI,all,mad,-0.0065215229988098145,0.006415069103240967
D_BW_ENCSR000EKI,benign,std,-0.00997576088015413,0.011047073851436554
D_BW_ENCSR000EKI,benign,mad,-0.0032653212547302246,0.0037924647331237793
D_BW_ENCSR000DQL,all,std,-0.01876838941756279,0.017039900198186925
D_BW_ENCSR000DQL,all,mad,-0.008363693952560425,0.008336514234542847
D_BW_ENCSR000DQL,benign,std,-0.011616652939893373,0.02154505861003121
D_BW_ENCSR000DQL,benign,mad,-0.0014297962188720703,0.010021567344665527
D_BW_ENCSR000DQK,all,std,-0.020562406076481146,0.018800570266608814
D_BW_ENCSR000DQK,all,mad,-0.005833804607391357,0.005346536636352539
D_BW_ENCSR000DQK,benign,std,-0.017956746584322836,0.02847474621047546
D_BW_ENCSR000DQK,benign,mad,-0.0011737942695617676,0.009652554988861084
D_BW_ENCSR000DQM,all,std,-0.011616676762599091,0.01228988129526443
D_BW_ENCSR000DQM,all,mad,-0.0037859976291656494,0.004295140504837036
D_BW_ENCSR000DQM,benign,std,-0.008255694508386363,0.011864332077739884
D_BW_ENCSR000DQM,benign,mad,-0.0007941126823425293,0.0032915472984313965
D_BW_ENCSR515EWI,all,std,-0.02563319355279023,0.02018524217748359
D_BW_ENCSR515EWI,all,mad,-0.00783511996269226,0.006489306688308716
D_BW_ENCSR515EWI,benign,std,-0.013970938059509276,0.015251952389238153
D_BW_ENCSR515EWI,benign,mad,-0.003595590591430664,0.003595590591430664
D_BW_ENCSR000ELA,all,std,-0.021018648034108803,0.017756729801269275
D_BW_ENCSR000ELA,all,mad,-0.006278425455093384,0.006278663873672485
D_BW_ENCSR000ELA,benign,std,-0.009048664347617459,0.011827468660840357
D_BW_ENCSR000ELA,benign,mad,-0.00254136323928833,0.003904879093170166
D_BW_ENCSR000AQW,all,std,-0.0185074858264926,0.01725747728218685
