variant_type,delta_col,mean,std
snp,D_BW_ENCSR000AQX,0.00038262052923186213,0.008308354258601158
snp,D_BW_ENCSR000AQY,0.000475187488218658,0.012214202207721025
snp,D_BW_ENCSR000ARA,0.0002641387092761504,0.009345725368849036
snp,D_BW_ENCSR564VIX,0.00019407507637117662,0.005441563233910455
snp,D_BW_ENCSR000ARY,1.1344445057404347e-05,0.008613778161839355
snp,D_BW_ENCSR000ARZ,0.000403183115980564,0.007776892851294549
snp,D_BW_ENCSR741STU,0.00015262883697819506,0.008125566821989191
snp,D_BW_ENCSR350RYG,0.0005506253236124658,0.0077140258154249205
snp,D_BW_ENCSR784AQY,0.00015239667179238082,0.007014962829774903
snp,D_BW_ENCSR460SEN,0.0002841682037991336,0.01088840435744548
snp,D_BW_ENCSR052WRV,0.00020065135999113067,0.007922546703498254
snp,D_BW_ENCSR627TNG,0.00036393231752081815,0.006550482444618302
snp,D_BW_ENCSR346IHH,0.00016244090138337552,0.015770289061185216
snp,D_BW_ENCSR548MMD,0.00013169991728077587,0.018120142901127942
snp,D_BW_ENCSR691MQJ,0.00029855835068429636,0.01490535811560552
snp,D_BW_ENCSR678ILN,-0.0001477900924336197,0.015324282484917715
snp,D_BW_ENCSR240TPI,0.0003855614994580929,0.01987790732958237
snp,D_BW_ENCSR844DRI,0.0003656336576001257,0.008009278962649805
snp,D_BW_ENCSR730FLZ,0.0003998336565290761,0.01141221515541808
snp,D_BW_ENCSR097ORD,0.00014383940933606563,0.006936311847462229
snp,D_BW_ENCSR895IWH,0.0004444787231011268,0.007895090400990144
snp,D_BW_ENCSR269SIA,0.00013958782785468632,0.012708577141051704
snp,D_BW_ENCSR000EIS,0.00012833084115105816,0.011019545694595782
snp,D_BW_ENCSR000EIT,-2.8876549540421902e-05,0.011679304579606512
snp,D_BW_ENCSR000DQU,0.0007594466464132325,0.011244403908781994
snp,D_BW_ENCSR000DQT,0.0004280522688586488,0.011490707867971486
snp,D_BW_ENCSR000DQV,8.148574867309669e-05,0.008512050325590234
snp,D_BW_ENCSR000FCL,0.00022555610053559655,0.0066810674009277204
snp,D_BW_ENCSR000EJB,0.00028363119205857955,0.007944815329312896
snp,D_BW_ENCSR000EMR,0.0005350708834126464,0.013194869182685516
snp,D_BW_ENCSR000DQZ,0.00016767598179161038,0.009180746105913754
snp,D_BW_ENCSR000DRC,0.00025249324802659515,0.008004961198177707
snp,D_BW_ENCSR000DRS,2.8305866906785558e-05,0.00891445749109438
snp,D_BW_ENCSR000EJD,0.00041712363306273763,0.009423433728294676
snp,D_BW_ENCSR000AKC,0.000331520658527684,0.010885456623278575
snp,D_BW_ENCSR000AKD,0.0004554236673901224,0.007042663713234977
snp,D_BW_ENCSR000DRX,0.0008205168458641084,0.01225775428560128
snp,D_BW_ENCSR000DRW,0.00031537646666551246,0.012376441717250442
snp,D_BW_ENCSR000AKF,0.000411401717708661,0.011570540868696275
snp,D_BW_ENCSR000AKA,0.000644414840090988,0.009362259567124878
snp,D_BW_ENCSR000DRY,-5.023228243375436e-05,0.009575786140881296
snp,D_BW_ENCSR057BWO,0.0002597651261295009,0.0058491542996077055
snp,D_BW_ENCSR000AKH,0.00022559906555037214,0.007781727604143404
snp,D_BW_ENCSR000EJE,0.0002249103548944506,0.009143639387910837
snp,D_BW_ENCSR000EJF,9.833134583428374e-05,0.008923052392570248
snp,D_BW_ENCSR000EJI,0.00024073318793223455,0.008301481682678129
snp,D_BW_ENCSR000EJJ,0.000149319457829508,0.008923158761260506
snp,D_BW_ENCSR000EJK,0.0004077832763775801,0.009244632814110327
snp,D_BW_ENCSR000EJL,0.00026851833567150636,0.009412913502652567
snp,D_BW_ENCSR217TAW,0.000381247549612298,0.01884051282574195
snp,D_BW_ENCSR007YOT,0.0002561964858800937,0.00915218694626249
snp,D_BW_ENCSR866KFY,0.00038482280304798715,0.006167809914302132
snp,D_BW_ENCSR914AWT,0.00012600368732570584,0.005222689789885921
snp,D_BW_ENCSR906NGD,0.0002843755782924147,0.008994626955339317
snp,D_BW_ENCSR479HKJ,0.00021793825758828058,0.00617705709486275
snp,D_BW_ENCSR562MOC,0.00035185695777082034,0.0074258657828383135
snp,D_BW_ENCSR673OPX,0.000140517023511422,0.003899757510078014
snp,D_BW_ENCSR729ENO,0.00030616000931487123,0.007913890012547487
snp,D_BW_ENCSR386RIJ,0.0003353883026756792,0.00785382005090471
snp,D_BW_ENCSR236YPE,0.00022978348355007987,0.006332312133301365
snp,D_BW_ENCSR249YGG,0.00015655607303493042,0.009587341876654122
snp,D_BW_ENCSR657DYL,7.892058063776065e-05,0.007363767027450913
snp,D_BW_ENCSR000EJN,-0.0002558195469980566,0.012105487167725018
snp,D_BW_ENCSR000EMU,-0.00023029169274701013,0.01209135993569668
snp,D_BW_ENCSR794OFW,0.00011006986292508933,0.011886563995634236
snp,D_BW_ENCSR000ANP,0.0006037788067617987,0.009429735173073824
snp,D_BW_ENCSR880SUY,0.0007033606816051353,0.013631853820679232
snp,D_BW_ENCSR186OBR,0.0008212848415232112,0.016378493568109106
